Province,City,Area
BANTEN,PANDEGLANG,SOBANG-PGL
BANTEN,PANDEGLANG,MUNJUL
BANTEN,PANDEGLANG,SUKARESMI-PGL
BANTEN,PANDEGLANG,CIKEUSIK
BANTEN,PANDEGLANG,CIMANGGU-PGL
BANTEN,PANDEGLANG,CIBALIUNG
BANTEN,PANDEGLANG,CIGEULIS
BANTEN,PANDEGLANG,SUMUR
JAWA BARAT,PANGANDARAN,PADAHERANG
JAWA BARAT,PANGANDARAN,KALIPUCANG
JAWA BARAT,PANGANDARAN,MANGUNJAYA
JAWA BARAT,PANGANDARAN,PANGANDARAN
JAWA BARAT,PANGANDARAN,PARIGI-PGR
JAWA BARAT,PANGANDARAN,SIDAMULIH
JAWA BARAT,PANGANDARAN,CIJULANG
JAWA BARAT,PANGANDARAN,CIMERAK
JAWA BARAT,PANGANDARAN,CIGUGUR-PGR
SULAWESI TENGAH,PARIGI MOUTONG,PARIGI BARAT
SULAWESI TENGAH,PARIGI MOUTONG,PARIGI SELATAN
SULAWESI TENGAH,PARIGI MOUTONG,PARIGI TENGAH
SULAWESI TENGAH,PARIGI MOUTONG,PARIGI UTARA
SULAWESI TENGAH,PARIGI MOUTONG,AMPIBABO
SULAWESI TENGAH,PARIGI MOUTONG,BALINGGI
SULAWESI TENGAH,PARIGI MOUTONG,BOLANO LAMBUNU
SULAWESI TENGAH,PARIGI MOUTONG,KASIMBAR
SULAWESI TENGAH,PARIGI MOUTONG,MEPANGA
SULAWESI TENGAH,PARIGI MOUTONG,MOUTONG
SULAWESI TENGAH,PARIGI MOUTONG,PALASA
SULAWESI TENGAH,PARIGI MOUTONG,SAUSU
SULAWESI TENGAH,PARIGI MOUTONG,SINIU
SULAWESI TENGAH,PARIGI MOUTONG,TINOMBO
SULAWESI TENGAH,PARIGI MOUTONG,TINOMBO SELATAN
SULAWESI TENGAH,PARIGI MOUTONG,TOMINI
SULAWESI TENGAH,PARIGI MOUTONG,TORIBULU
SULAWESI TENGAH,PARIGI MOUTONG,TORUE
SULAWESI TENGAH,PARIGI MOUTONG,BALANO
SULAWESI TENGAH,PARIGI MOUTONG,ONGKA MALINO
SULAWESI TENGAH,PARIGI MOUTONG,SIDOAN
SUMATERA SELATAN,BANYUASIN,AIR SALEK
SUMATERA SELATAN,BANYUASIN,BANYUASIN I
SUMATERA SELATAN,BANYUASIN,BANYUASIN II
SUMATERA SELATAN,BANYUASIN,BANYUASIN III
SUMATERA SELATAN,BANYUASIN,BETUNG
SUMATERA SELATAN,BANYUASIN,MUARA PADANG
SUMATERA SELATAN,BANYUASIN,MUARA SUGIHAN
SUMATERA SELATAN,BANYUASIN,MUARA TELANG
SUMATERA SELATAN,BANYUASIN,PULAU RIMAU
SUMATERA SELATAN,BANYUASIN,RAMBUTAN-PKB
SUMATERA SELATAN,BANYUASIN,RANTAU BAYUR
SUMATERA SELATAN,BANYUASIN,SEMBAWA
SUMATERA SELATAN,BANYUASIN,SUAK TAPEH
SUMATERA SELATAN,BANYUASIN,TALANG KELAPA
SUMATERA SELATAN,BANYUASIN,TANJUNG LAGO
SUMATERA SELATAN,BANYUASIN,TUNGKAL ILIR-PKB
SUMATERA SELATAN,BANYUASIN,AIR KUMBANG
SUMATERA SELATAN,BANYUASIN,SUMBER MARGA TELANG
RIAU,PELALAWAN,SEI KIJANG
LAMPUNG,LAMPUNG SELATAN,TANJUNG SARI
LAMPUNG,LAMPUNG SELATAN,WAY PANJI
LAMPUNG,LAMPUNG SELATAN,WAY SULAN
LAMPUNG,LAMPUNG SELATAN,NATAR
LAMPUNG,LAMPUNG SELATAN,JATI AGUNG
LAMPUNG,WAY KANAN,BAHUGA
LAMPUNG,WAY KANAN,BANJIT
LAMPUNG,WAY KANAN,BARADATU
LAMPUNG,WAY KANAN,BLAMBANGAN UMPU
LAMPUNG,WAY KANAN,BUAY BAHUGA
LAMPUNG,WAY KANAN,BUMI AGUNG-BLM
LAMPUNG,WAY KANAN,GUNUNG LABUHAN
LAMPUNG,WAY KANAN,KASUI
LAMPUNG,WAY KANAN,NEGERI AGUNG
LAMPUNG,WAY KANAN,NEGERI BESAR
LAMPUNG,WAY KANAN,PAKUAN RATU
LAMPUNG,WAY KANAN,REBANG TANGKAS
LAMPUNG,WAY KANAN,WAY TUBA
KALIMANTAN SELATAN,TANAH BUMBU,KARANG BINTANG
KALIMANTAN SELATAN,TANAH BUMBU,SIMPANG EMPAT-BLN
SULAWESI TENGGARA,BOMBANA,RAROWATU UTARA
SULAWESI TENGGARA,BOMBANA,TONTONUNU
KALIMANTAN BARAT,SANGGAU,BONTI
KALIMANTAN BARAT,SANGGAU,ENTIKONG
KALIMANTAN BARAT,SANGGAU,JANGKANG
KALIMANTAN BARAT,SANGGAU,MELIAU
KALIMANTAN BARAT,SANGGAU,MUKOK
KALIMANTAN BARAT,SANGGAU,NOYAN
KALIMANTAN BARAT,SANGGAU,PARINDU
KALIMANTAN BARAT,SANGGAU,TOBA
KALIMANTAN BARAT,SANGGAU,TAYAN HULU
KALIMANTAN BARAT,SANGGAU,TAYAN HILIR
KALIMANTAN BARAT,SANGGAU,SEKAYAM
KALIMANTAN BARAT,SANGGAU,BEDUAI
KALIMANTAN BARAT,SANGGAU,BALAI KARANGAN
BANGKA BELITUNG,BANGKA,RIAU SILIP
BANGKA BELITUNG,BANGKA,PEMALI
BANGKA BELITUNG,BANGKA,MERAWANG
BANGKA BELITUNG,BANGKA,BAKAM
BANGKA BELITUNG,BANGKA,MENDO BARAT
BANGKA BELITUNG,BANGKA,PUDING BESAR
PAPUA,SARMI,APAWER HULU
PAPUA,SARMI,BONGGO
PAPUA,SARMI,BONGGO TIMUR
PAPUA,SARMI,PANTAI BARAT
PAPUA,SARMI,PANTAI TIMUR
PAPUA,SARMI,SARMI SELATAN
PAPUA,SARMI,SARMI TIMUR
PAPUA,SARMI,TOR ATAS
PAPUA,SARMI,SARMI BARAT
MALUKU UTARA,SANANA,MANGOLI BARAT
MALUKU UTARA,SANANA,MANGOLI SELATAN
MALUKU UTARA,SANANA,MANGOLI TENGAH
MALUKU UTARA,SANANA,MANGOLI TIMUR
MALUKU UTARA,SANANA,MANGOLI UTARA
MALUKU UTARA,SANANA,MANGOLI UTARA TIMUR
MALUKU UTARA,SANANA,SANANA
KALIMANTAN BARAT,SAMBAS,TEBAS
KALIMANTAN BARAT,SAMBAS,JAWAI
KALIMANTAN BARAT,SAMBAS,JAWAI SELATAN
KALIMANTAN BARAT,SAMBAS,PALOH
KALIMANTAN BARAT,SAMBAS,SAJAD
KALIMANTAN BARAT,SAMBAS,SAJINGAN BESAR
KALIMANTAN BARAT,SAMBAS,SALATIGA
KALIMANTAN BARAT,SAMBAS,SEBAWI
KALIMANTAN BARAT,SAMBAS,SEJANGKUNG
KALIMANTAN BARAT,SAMBAS,SUBAH-SAS
KALIMANTAN BARAT,SAMBAS,TANGARAN
KALIMANTAN BARAT,SAMBAS,TEKARANG
KALIMANTAN BARAT,SAMBAS,PEMANGKAT
KALIMANTAN BARAT,SAMBAS,SELAKAU TIMUR
KALIMANTAN BARAT,SAMBAS,SELAKAU
KALIMANTAN BARAT,SAMBAS,TELUK KERAMAT
KALIMANTAN BARAT,SAMBAS,SAMBAS
JAWA TIMUR,SITUBONDO,SITUBONDO
JAWA TIMUR,SITUBONDO,PANJI
JAWA TIMUR,SITUBONDO,MANGARAN
JAWA TIMUR,SITUBONDO,PANARUKAN
JAWA TIMUR,SITUBONDO,KAPONGAN
JAWA TIMUR,SITUBONDO,ARJASA-SBD
JAWA TIMUR,SITUBONDO,ASEMBAGUS
JAWA TIMUR,SITUBONDO,BANYUGLUGUR
JAWA TIMUR,SITUBONDO,BANYUPUTIH-SBD
JAWA TIMUR,SITUBONDO,JANGKAR
JAWA TIMUR,SITUBONDO,JATIBANTENG
JAWA TIMUR,SITUBONDO,KENDIT
JAWA TIMUR,SITUBONDO,MLANDINGAN
JAWA TIMUR,SITUBONDO,SUBOH
JAWA TIMUR,SITUBONDO,SUMBERMALANG
JAWA BARAT,SUBANG,BINONG
JAWA BARAT,SUBANG,BLANAKAN
JAWA BARAT,SUBANG,CIASEM
JAWA BARAT,SUBANG,CIBOGO
JAWA BARAT,SUBANG,CIKAUM
SUMATERA BARAT,SOLOK SELATAN,SANGIR
SUMATERA BARAT,SOLOK SELATAN,SANGIR BALAI JANGGO
SUMATERA BARAT,SOLOK SELATAN,SANGIR BATANG HARI
SULAWESI SELATAN,WAJO,TAKKALALLA
SULAWESI SELATAN,WAJO,TANA SITOLO
SULAWESI SELATAN,WAJO,TEMPE
SULAWESI SELATAN,WAJO,SAJOANGING
SULAWESI SELATAN,WAJO,PITUMPANUA
SULAWESI SELATAN,WAJO,KEERA
SUMATERA UTARA,SERDANG BEDAGAI,BANDAR KHALIFAH
SUMATERA UTARA,SERDANG BEDAGAI,BINTANG KAYU
SUMATERA UTARA,SERDANG BEDAGAI,DOLOK MASIHUL
SUMATERA UTARA,SERDANG BEDAGAI,DOLOK MERAWAN
SUMATERA UTARA,SERDANG BEDAGAI,KOTARIH
SUMATERA UTARA,SERDANG BEDAGAI,PEGAJAHAN
SUMATERA UTARA,SERDANG BEDAGAI,PERBAUNGAN
SUMATERA UTARA,SERDANG BEDAGAI,SEI BAMBAN
SUMATERA UTARA,SERDANG BEDAGAI,SERBA JADI-SER
SUMATERA UTARA,SERDANG BEDAGAI,SILINDA
SUMATERA UTARA,SERDANG BEDAGAI,SIPISPIS
SUMATERA UTARA,SERDANG BEDAGAI,TANJUNG BERINGIN
SUMATERA UTARA,SERDANG BEDAGAI,TEBING SYAHBANDAR
SUMATERA UTARA,SERDANG BEDAGAI,TEBING TINGGI-SER
SUMATERA UTARA,SERDANG BEDAGAI,TELUK MENGKUDU
PAPUA,SENTANI,SENTANI BARAT
PAPUA,SENTANI,SENTANI TIMUR
PAPUA,SENTANI,WAIBU
PAPUA,SENTANI,YAPSI
PAPUA,SENTANI,YOKARI
PAPUA,SENTANI,AIRU
PAPUA,SENTANI,DEMTA
PAPUA,SENTANI,EBUNGFAU
PAPUA,SENTANI,GRESI SELATAN
PAPUA,SENTANI,KEMTUK
PAPUA,SENTANI,NAMBLUONG
PAPUA,SENTANI,RAVENIRARA
PAPUA,SENTANI,UNURUM GUAY
BALI,BULELENG,BANJAR-SGA
BALI,BULELENG,BULELENG
BALI,BULELENG,BUSUNG BIU
BALI,BULELENG,KUBUTAMBAHAN
BALI,BULELENG,SAWAN
BALI,BULELENG,SUKASADA
BALI,BULELENG,TEJAKULA
BALI,BULELENG,SERIRIT
NANGGROE ACEH DARUSSALAM,SIGLI,PIDIE
NANGGROE ACEH DARUSSALAM,SIGLI,BATEE
NANGGROE ACEH DARUSSALAM,SIGLI,GRONG GRONG
NANGGROE ACEH DARUSSALAM,SIGLI,MUARA TIGA
NANGGROE ACEH DARUSSALAM,SIGLI,PADANG TIJI
NANGGROE ACEH DARUSSALAM,SIGLI,MILA
NANGGROE ACEH DARUSSALAM,SIGLI,SAKTI
NANGGROE ACEH DARUSSALAM,SIGLI,KEUMALA
NANGGROE ACEH DARUSSALAM,SIGLI,TITUE
NANGGROE ACEH DARUSSALAM,SIGLI,TANGSE
NANGGROE ACEH DARUSSALAM,SIGLI,GEUMPANG
NANGGROE ACEH DARUSSALAM,SIGLI,INDRAJAYA
NANGGROE ACEH DARUSSALAM,SIGLI,PEUKAN BARO
NANGGROE ACEH DARUSSALAM,SIGLI,MUTIARA
NANGGROE ACEH DARUSSALAM,SIGLI,MUTIARA TIMUR
NANGGROE ACEH DARUSSALAM,SIGLI,TIRO
NANGGROE ACEH DARUSSALAM,SIGLI,SIMPANG TIGA-SGL
NANGGROE ACEH DARUSSALAM,SIGLI,GLUMPANG BARO
NANGGROE ACEH DARUSSALAM,SIGLI,GLUMPANG TIGA
NANGGROE ACEH DARUSSALAM,SIGLI,KEMBANG TANJONG
SULAWESI SELATAN,GOWA,BAJENG
SULAWESI SELATAN,GOWA,BAJENG BARAT
SULAWESI SELATAN,GOWA,BAROMBONG
SULAWESI SELATAN,GOWA,BIRINGBULU
SULAWESI SELATAN,GOWA,BONTOLEMPANGAN
SULAWESI SELATAN,GOWA,BONTOMARANNU
SULAWESI SELATAN,GOWA,BONTONOMPO
SULAWESI SELATAN,GOWA,BONTONOMPO SELATAN
SULAWESI SELATAN,GOWA,BUNGAYA
SULAWESI SELATAN,GOWA,PALLANGGA
KALIMANTAN BARAT,KAPUAS HULU,SILAT HILIR
KALIMANTAN BARAT,KAPUAS HULU,SILAT HULU
KALIMANTAN BARAT,KAPUAS HULU,JONGKONG
LAMPUNG,PRINGSEWU,PRINGSEWU
LAMPUNG,PRINGSEWU,ADI LUWIH
LAMPUNG,PRINGSEWU,AMBARAWA-PSW
LAMPUNG,PRINGSEWU,BANYUMAS-PSW
LAMPUNG,PRINGSEWU,GADING REJO-PSW
LAMPUNG,PRINGSEWU,PAGELARAN-PSW
LAMPUNG,PRINGSEWU,PARDASUKA
LAMPUNG,PRINGSEWU,SUKOHARJO-PSW
LAMPUNG,PRINGSEWU,PAGELARAN UTARA
JAWA TENGAH,PATI,TRANGKIL
JAWA TENGAH,PATI,WEDARIJAKSA
JAWA TENGAH,PATI,JUWANA
JAWA TENGAH,PATI,BATANGAN
JAWA TENGAH,PATI,JAKEN
JAWA TENGAH,PATI,JAKENAN
JAWA TENGAH,PATI,PUCAKWANGI
JAWA TENGAH,PATI,WINONG
JAWA TENGAH,PATI,SUKOLILO-PTI
JAWA TENGAH,PATI,TAMBAKROMO
JAWA TENGAH,PATI,KAYEN
JAWA TENGAH,PATI,GABUS-PTI
JAWA TENGAH,PATI,DUKUHSETI
JAWA TENGAH,PATI,CLUWAK
JAWA TENGAH,PATI,TAYU
JAWA TENGAH,PATI,GUNUNGWUNGKAL
JAWA TENGAH,PATI,MARGOREJO
JAWA TENGAH,PATI,TLOGOWUNGU
JAWA TENGAH,PATI,GEMBONG
KALIMANTAN TENGAH,MURUNG RAYA,BARITO TUHUP RAYA
KALIMANTAN TENGAH,MURUNG RAYA,LAUNG TUHUP
KALIMANTAN TENGAH,MURUNG RAYA,MURUNG
KALIMANTAN TENGAH,MURUNG RAYA,PERMATA INTAN
KALIMANTAN TENGAH,MURUNG RAYA,SERIBU RIAM
KALIMANTAN TENGAH,MURUNG RAYA,SUMBER BARITO
KALIMANTAN TENGAH,MURUNG RAYA,SUNGAI BABUAT
KALIMANTAN TENGAH,MURUNG RAYA,TANAH SIANG
KALIMANTAN TENGAH,MURUNG RAYA,UUT MURUNG
KALIMANTAN TENGAH,PULANG PISAU,KAHAYAN KUALA
KALIMANTAN TENGAH,PULANG PISAU,MALIKU
KALIMANTAN TENGAH,PULANG PISAU,JABIREN RAYA
JAWA TENGAH,PURBALINGGA,KEMANGKON
JAWA TENGAH,PURBALINGGA,BUKATEJA
JAWA TENGAH,PURBALINGGA,KEJOBONG
JAWA TENGAH,PURBALINGGA,PENGADEKAN
JAWA TENGAH,PURBALINGGA,KALIGONDANG
JAWA TENGAH,PURBALINGGA,KALIMANAH
JAWA TENGAH,PURBALINGGA,PADAMARA
JAWA TENGAH,PURBALINGGA,KUTASARI
JAWA TENGAH,PURBALINGGA,BOJONGSARI-PUR
JAWA TENGAH,PURBALINGGA,MREBET
JAWA TENGAH,PURBALINGGA,BOBOTSARI
JAWA TENGAH,PURBALINGGA,KARANGREJA
JAWA TENGAH,PURBALINGGA,KARANGANYAR-PUR
JAWA TENGAH,PURBALINGGA,KERTANEGARA
JAWA TENGAH,PURBALINGGA,KARANGMONCOL
JAWA TENGAH,PURBALINGGA,REMBANG-PUR
JAWA TENGAH,PURWOREJO,BAGELEN
JAWA TENGAH,PURWOREJO,BANYU URIP
JAWA TENGAH,PURWOREJO,BENER
JAWA TENGAH,PURWOREJO,GEBANG-PWJ
JAWA TENGAH,PURWOREJO,KALI GESING
JAWA TENGAH,PURWOREJO,LOANO
JAWA TENGAH,PURWOREJO,NGOMBOL
JAWA TENGAH,PURWOREJO,PURWODADI-PWJ
JAWA TENGAH,PURWOREJO,PURWOREJO-PWJ
JAWA TENGAH,PURWOREJO,KUTOARJO
JAWA TENGAH,PURWOREJO,GRABAG-PWJ
JAWA TENGAH,PURWOREJO,KEMIRI-PWJ
JAWA TENGAH,PURWOREJO,BUTUH
JAWA TENGAH,PURWOREJO,PITURUH
JAWA TENGAH,PURWOREJO,BRUNO
JAWA BARAT,PURWAKARTA,BABAKANCIKAO
JAWA BARAT,PURWAKARTA,BUNGURSARI-PWK
JAWA BARAT,PURWAKARTA,CAMPAKA-PWK
JAWA BARAT,PURWAKARTA,CIBATU-PWK
JAWA BARAT,PURWAKARTA,SUKATANI-PWK
JAWA BARAT,PURWAKARTA,MANIIS
JAWA BARAT,PURWAKARTA,PLERED-PWK
JAWA BARAT,PURWAKARTA,DARANGDAN
JAWA BARAT,PURWAKARTA,BOJONG-PWK
JAWA BARAT,PURWAKARTA,JATILUHUR
JAWA BARAT,PURWAKARTA,PASAWAHAN-PWK
JAWA BARAT,PURWAKARTA,PONDOK SALAM
JAWA BARAT,PURWAKARTA,SUKASARI-PWK
JAWA BARAT,PURWAKARTA,WANAYASA-PWK
JAWA TENGAH,BANYUMAS,PURWOKERTO BARAT
JAWA TENGAH,BANYUMAS,PURWOKERTO SELATAN
JAWA TENGAH,BANYUMAS,PURWOKERTO TIMUR
JAWA TENGAH,BANYUMAS,PURWOKERTO UTARA
JAWA TENGAH,BANYUMAS,BATURADEN
JAWA TENGAH,BANYUMAS,KARANGLEWAS
JAWA TENGAH,BANYUMAS,KEDUNG BANTENG
JAWA TENGAH,BANYUMAS,KIEMBARAN
JAWA TENGAH,BANYUMAS,SUMBANG
JAWA TENGAH,BANYUMAS,AJIBARANG
JAWA TENGAH,BANYUMAS,CILONGOK
JAWA TENGAH,BANYUMAS,GUMELAR
JAWA TENGAH,BANYUMAS,JATILAWANG
JAWA TENGAH,BANYUMAS,LUMBIR
JAWA TENGAH,BANYUMAS,PEKUNCEN
JAWA TENGAH,BANYUMAS,PURWOJATI
JAWA TENGAH,BANYUMAS,RAWALO
JAWA TENGAH,BANYUMAS,WANGON
JAWA TENGAH,BANYUMAS,SOMAGEDE
JAWA TENGAH,BANYUMAS,KALIBAGOR
JAWA TENGAH,BANYUMAS,KEBASEN
JAWA TENGAH,BANYUMAS,PATIKRAJA
JAWA TENGAH,BANYUMAS,SUMPIUH
JAWA TENGAH,BANYUMAS,TAMBAK-PWO
JAWA TENGAH,BANYUMAS,KEMRANJEN
SULAWESI BARAT,POLEWALI,ALLU
SULAWESI BARAT,POLEWALI,ANREAPI
SULAWESI BARAT,POLEWALI,BALANIPA
SULAWESI BARAT,POLEWALI,BINUANG-PWX
SULAWESI BARAT,POLEWALI,BULO
SULAWESI BARAT,POLEWALI,CAMPALAGIAN
SULAWESI BARAT,POLEWALI,LUYO
SULAWESI BARAT,POLEWALI,MAPILLI
SULAWESI BARAT,POLEWALI,MATAKALI
SULAWESI BARAT,POLEWALI,MATANGNGA
SULAWESI BARAT,POLEWALI,POLEWALI
SULAWESI BARAT,POLEWALI,TAPANGO
SULAWESI BARAT,POLEWALI,TINAMBUNG
SULAWESI BARAT,POLEWALI,TUBBI TAMARANNU _ TUTALLU
SULAWESI BARAT,POLEWALI,WONOMULYO
NUSA TENGGARA BARAT,LOMBOK,JANAPRIA
NUSA TENGGARA BARAT,LOMBOK,JONGGAT
NUSA TENGGARA BARAT,LOMBOK,PUJUT
NUSA TENGGARA BARAT,LOMBOK,PRAYA BARAT DAYA
NUSA TENGGARA BARAT,LOMBOK,PRAYA BARAT
NUSA TENGGARA BARAT,LOMBOK,PRAYA TIMUR
SUMATERA UTARA,MANDAILING NATAL,BATAHAN
SUMATERA UTARA,MANDAILING NATAL,BATANG NATAL
SUMATERA UTARA,MANDAILING NATAL,BUKIT MALINTANG
SUMATERA UTARA,MANDAILING NATAL,KOTANOPAN
SUMATERA UTARA,MANDAILING NATAL,LANGGA BAYU
SUMATERA UTARA,MANDAILING NATAL,LEMBAH SORIK MERAPI
SUMATERA UTARA,MANDAILING NATAL,MUARA BATANG GADIS
SUMATERA UTARA,MANDAILING NATAL,MUARA SIPONGI
SUMATERA UTARA,MANDAILING NATAL,NATAL
SUMATERA UTARA,MANDAILING NATAL,PANYABUNGAN BARAT
SUMATERA UTARA,MANDAILING NATAL,PANYABUNGAN KOTA
SUMATERA UTARA,MANDAILING NATAL,PANYABUNGAN SELATAN
SUMATERA UTARA,MANDAILING NATAL,PANYABUNGAN TIMUR
SUMATERA UTARA,MANDAILING NATAL,SIABU
SUMATERA UTARA,MANDAILING NATAL,TAMBANGAN
SUMATERA UTARA,MANDAILING NATAL,ULU PUNGKUT
SUMATERA UTARA,MANDAILING NATAL,HUTA BARGOT
SUMATERA UTARA,MANDAILING NATAL,NAGA JUANG
SUMATERA UTARA,MANDAILING NATAL,PAKANTAN
SUMATERA UTARA,MANDAILING NATAL,RANTO BAEK
SUMATERA SELATAN,MUSI RAWAS,BATUKUNING LAKITAN ULU
SUMATERA SELATAN,MUSI RAWAS,JAYA LOKA
SUMATERA SELATAN,MUSI RAWAS,MEGANG SAKTI
SUMATERA SELATAN,MUSI RAWAS,MUARA BELITI
SUMATERA SELATAN,MUSI RAWAS,MUARA LAKITAN
SUMATERA SELATAN,MUSI RAWAS,PURWODADI-MRR
SUMATERA SELATAN,MUSI RAWAS,SELANGIT
SUMATERA SELATAN,MUSI RAWAS,STL ULU TERAWAS
SUMATERA SELATAN,MUSI RAWAS,SUKAKARYA-MRR
SUMATERA SELATAN,MUSI RAWAS,SUMBER HARTA
SUMATERA SELATAN,MUSI RAWAS,TIANG PUMPUNG KEPUNGUT
SUMATERA SELATAN,MUSI RAWAS,TUAH NEGERI
SUMATERA SELATAN,MUSI RAWAS,TUGUMULYO
GORONTALO,MARISA,BUNTULIA
GORONTALO,MARISA,DENGILO
GORONTALO,MARISA,DUHIADAA
GORONTALO,MARISA,LEMITO
GORONTALO,MARISA,PAGUAT
GORONTALO,MARISA,POPAYATO
GORONTALO,MARISA,POPAYATO BARAT
GORONTALO,MARISA,POPAYATO TIMUR
GORONTALO,MARISA,RANDANGAN
GORONTALO,MARISA,TALUDUTI
GORONTALO,MARISA,WANGGARASI
SUMATERA SELATAN,MUSI RAWAS UTARA,ULU RAWAS
SUMATERA SELATAN,MUSI RAWAS UTARA,RAWAS ILIR
SUMATERA SELATAN,MUSI RAWAS UTARA,RAWAS ULU
SUMATERA SELATAN,MUSI RAWAS UTARA,RUPIT
SUMATERA SELATAN,MUSI RAWAS UTARA,NIBUNG
SUMATERA SELATAN,MUSI RAWAS UTARA,KARANG DAPO
KALIMANTAN TENGAH,MUARA TEWEH,GUNUNG PUREI
KALIMANTAN TENGAH,MUARA TEWEH,GUNUNG TIMANG
KALIMANTAN TENGAH,MUARA TEWEH,LAHEI
KALIMANTAN TENGAH,MUARA TEWEH,LAHEI BARAT
KALIMANTAN TENGAH,MUARA TEWEH,MONTALAT _ BARITO UTARA
KALIMANTAN TENGAH,MUARA TEWEH,TEWEH BARU
KALIMANTAN TENGAH,MUARA TEWEH,TEWEH SELATAN
KALIMANTAN TENGAH,MUARA TEWEH,TEWEH TENGAH
KALIMANTAN TENGAH,MUARA TEWEH,TEWEH TIMUR
SULAWESI SELATAN,MASAMBA,BAEBUNTA
SULAWESI SELATAN,MASAMBA,BONE-BONE
SULAWESI SELATAN,MASAMBA,LIMBONG
SULAWESI SELATAN,MASAMBA,MALENGKE
SULAWESI SELATAN,MASAMBA,MALENGKE BARAT
SULAWESI SELATAN,MASAMBA,MAPPEDECENG
SULAWESI SELATAN,MASAMBA,RAMPI
SULAWESI SELATAN,MASAMBA,SEKO
SULAWESI SELATAN,MASAMBA,SUKAMAJU
SULAWESI SELATAN,MASAMBA,TANA LILI
MALUKU,MALUKU TENGAH,AMAHAI
MALUKU,MALUKU TENGAH,BANDA
MALUKU,MALUKU TENGAH,LEIHITU
MALUKU,MALUKU TENGAH,LEIHITU BARAT
MALUKU,MALUKU TENGAH,MASOHI KOTA
MALUKU,MALUKU TENGAH,NUSALAUT
MALUKU,MALUKU TENGAH,PULAU HARUKU
MALUKU,MALUKU TENGAH,SALAHUTU
MALUKU,MALUKU TENGAH,SAPARUA
MALUKU,MALUKU TENGAH,SERAM UTARA BARAT
MALUKU,MALUKU TENGAH,TEHORU
MALUKU,MALUKU TENGAH,TELUK ELPAPUTIH
MALUKU,MALUKU TENGAH,TEON NILA SERUA
MALUKU,MALUKU TENGAH,SAPARUA TIMUR
MALUKU,MALUKU TENGAH,SERAM UTARA TIMUR SETI
MALUKU,MALUKU TENGAH,SERAM UTARA TIMUR KOBI
MALUKU,MALUKU TENGAH,TELUTIH
LAMPUNG,MESUJI,MESUJI-MSJ
LAMPUNG,MESUJI,MESUJI TIMUR
LAMPUNG,MESUJI,SIMPANG PEMATANG
LAMPUNG,MESUJI,TANJUNG RAYA-MSJ
LAMPUNG,MESUJI,WAY SERDANG
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),ARANIO
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),ASTAMBUL
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),KARANG INTAN
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),MARTAPURA BARAT
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),MARTAPURA TIMUR
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),MATARAMAN
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),PENGARON
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),PERAMASAN
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),SAMBUNG MAKMUR
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),SEI _ SUNGAI PINANG
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),SIMPANG EMPAT-MTA
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),TELAGA BAUNTUNG
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),TATAH MAKMUR
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),BERUNTUNG BARU
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),GAMBUT
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),SEI _ SUNGAI TABUK
KALIMANTAN SELATAN,MARTAPURA(BANJARMASIN),KERTAK HANYAR
JAWA TIMUR,MAGETAN,BARAT-MTX
JAWA TIMUR,MAGETAN,BENDO
JAWA TIMUR,MAGETAN,KARANGREJO
JAWA TIMUR,MAGETAN,KARAS-MTX
JAWA TIMUR,MAGETAN,KARTOHARJO-MTX
JAWA TIMUR,MAGETAN,KAWEDANAN
JAWA TIMUR,MAGETAN,LAMBEYAN
JAWA TIMUR,MAGETAN,MAOSPATI
JAWA TIMUR,MAGETAN,NGARIBOYO
JAWA TIMUR,MAGETAN,NGUNTORONADI-MTX
JAWA TIMUR,MAGETAN,PANEKAN
JAWA TIMUR,MAGETAN,PARANG
JAWA TIMUR,MAGETAN,PLAOSAN
JAWA TIMUR,MAGETAN,SIDOREJO-MTX
JAWA TIMUR,MAGETAN,SUKOMORO-MTX
JAWA TIMUR,MAGETAN,TAKERAN
SUMATERA SELATAN,MUARA DUA,BANDING AGUNG
SUMATERA SELATAN,MUARA DUA,BUANA PEMACA
SUMATERA SELATAN,MUARA DUA,BUAY PEMACA
SUMATERA SELATAN,MUARA DUA,BUAY PEMATANG RIBU RANAU TGH
SUMATERA SELATAN,MUARA DUA,BUAY RAWAN
SUMATERA SELATAN,MUARA DUA,BUAY RUNJUNG
SUMATERA SELATAN,MUARA DUA,BUAY SANDANG AJI
SUMATERA SELATAN,MUARA DUA,KISAM TINGGI
